,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,159.1133379,0,0,126.5147381,127.8105749
1,"Index(['MgO'], dtype='object')",1,414.2849632,0.596103403,0.580568919,152.3520449,153.6478817
2,"Index(['Al2O3'], dtype='object')",1,47.1165068,0.954064959,0.952298227,93.65591728,94.95175415
3,"Index(['SiO2'], dtype='object')",1,367.9695187,0.641257469,0.627459679,149.1510883,150.4469251
4,"Index(['P2O5'], dtype='object')",1,499.7192012,0.512811464,0.494073443,157.4143367,158.7101735
5,"Index(['Concentration(mM)'], dtype='object')",1,151.6114943,0.852190226,0.846505235,125.2107602,126.5065971
6,"Index(['L/S'], dtype='object')",1,173.3422009,0.831004426,0.824504596,128.8273128,130.1231497
7,"Index(['const', 'MgO'], dtype='object')",2,154.2753368,0.030406006,-0.008377754,127.6810359,130.2727096
8,"Index(['const', 'Al2O3'], dtype='object')",2,33.18389645,0.79144491,0.783102707,86.19083262,88.78250635
9,"Index(['const', 'SiO2'], dtype='object')",2,153.8636873,0.032993153,-0.005687121,127.6088961,130.2005698
10,"Index(['const', 'P2O5'], dtype='object')",2,126.4911334,0.205024952,0.17322595,122.3197352,124.9114089
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,124.5558624,0.217187798,0.18587531,121.9034518,124.4951255
12,"Index(['const', 'L/S'], dtype='object')",2,158.0154428,0.006900082,-0.032823914,128.3277901,130.9194639
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,36.84527287,0.964078638,0.961204929,89.01672332,91.60839705
14,"Index(['MgO', 'SiO2'], dtype='object')",2,295.1919483,0.712210111,0.68918692,145.2009825,147.7926562
15,"Index(['MgO', 'P2O5'], dtype='object')",2,344.6195262,0.66402195,0.637143707,149.380992,151.9726658
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,143.1005837,0.860487722,0.84932674,125.6508751,128.2425488
17,"Index(['MgO', 'L/S'], dtype='object')",2,169.3989359,0.834848812,0.821636717,130.2060109,132.7976847
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,33.17436516,0.967657496,0.965070095,86.1830764,88.77475013
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,43.61320692,0.957480412,0.954078845,93.56980583,96.16147956
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,25.01799517,0.975609341,0.973658089,78.56416048,81.15583421
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,28.5466228,0.972169196,0.969942731,82.12662865,84.71830238
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,319.2605152,0.688745074,0.66384468,147.3172861,149.9089598
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,147.4948172,0.856203676,0.84469997,126.4674974,129.0591712
24,"Index(['SiO2', 'L/S'], dtype='object')",2,171.3808538,0.832916592,0.819549919,130.5200694,133.1117431
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,146.0300612,0.857631703,0.846242239,126.1980229,128.7896966
26,"Index(['P2O5', 'L/S'], dtype='object')",2,161.4987322,0.842550915,0.829954988,128.9165123,131.508186
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,136.6773348,0.866749906,0.856089898,124.4109045,127.0025782
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,32.75528413,0.794138665,0.776983554,87.83982141,91.72733201
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,145.6507942,0.084609775,0.008327256,128.1278077,132.0153183
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,105.4729522,0.337120611,0.281880662,119.4133581,123.3008687
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,123.9212985,0.221175923,0.156273917,123.7655456,127.6530562
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,152.0094655,0.044646618,-0.034966164,129.2815408,133.1690514
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,31.61419199,0.801310233,0.784752753,86.88245102,90.76996161
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,30.39095573,0.808998063,0.793081235,85.8170019,89.7045125
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,24.65561862,0.845043672,0.832130644,80.17021529,84.05772589
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,27.53646476,0.826938049,0.812516219,83.15388558,87.04139618
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,98.45820761,0.381207076,0.329640999,117.555154,121.4426646
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,121.3965135,0.237043763,0.173464077,123.2097637,127.0972743
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,152.1552961,0.043730097,-0.035959061,129.3074309,133.1949415
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,89.03823235,0.440410003,0.393777503,114.8398635,118.7273741
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,126.4723918,0.20514274,0.138904635,124.3157344,128.203245
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,121.9681195,0.233451318,0.169572261,123.3365972,127.2241078
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,30.21999863,0.97053778,0.966855003,85.66469102,89.55220162
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,36.27933762,0.964630382,0.960209179,90.59879134,94.48630193
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,23.31845732,0.977266263,0.974424545,78.66470599,82.55221659
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,28.54491072,0.972170865,0.968692223,84.12500928,88.01251988
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,276.1782337,0.730747049,0.697090431,145.4033391,149.2908497
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,141.5046182,0.862043668,0.844799127,127.348059,131.2355696
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,165.6471137,0.838506556,0.818319876,131.6012974,135.488808
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,135.5813226,0.867818435,0.851295739,126.1935193,130.0810299
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,152.592732,0.851233594,0.832637793,129.3849426,133.2724532
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,136.6253668,0.866800571,0.850150642,126.4006365,130.2881471
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,32.96864134,0.967858061,0.963840319,88.01512029,91.90263088
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,23.24197663,0.977340826,0.974508429,78.57600491,82.46351551
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,28.11134276,0.972593561,0.969167756,83.71176051,87.59927111
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,23.25155304,0.977331489,0.974497925,78.58712745,82.47463805
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,26.19772189,0.974459197,0.971266596,81.80824173,85.69575232
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,23.92064264,0.976679177,0.973764075,79.35311387,83.24062447
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,141.3075178,0.862235827,0.845015305,127.3104247,131.1979353
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,155.618608,0.848283593,0.829319042,129.9151066,133.8026172
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,136.3839548,0.867035929,0.85041542,126.3528863,130.2403968
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,119.2386465,0.883751312,0.869220226,122.7255122,126.6130228
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,30.21890057,0.8100794,0.785307148,87.66370994,92.8470574
64,"Index(['const', 'MgO', 'Al2O3', 'P2O5'], dtype='object')",4,30.34017557,0.809317208,0.784445539,87.77184995,92.95519741
65,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",4,23.1647835,0.854413314,0.835423747,80.48618108,85.66952855
66,"Index(['const', 'MgO', 'Al2O3', 'L/S'], dtype='object')",4,27.47420564,0.827329336,0.804807076,85.09277028,90.27611774
67,"Index(['const', 'MgO', 'SiO2', 'P2O5'], dtype='object')",4,31.31761608,0.803174162,0.777501226,88.62796575,93.81131322
68,"Index(['const', 'MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",4,119.567752,0.248537215,0.15052033,124.7999311,129.9832786
69,"Index(['const', 'MgO', 'SiO2', 'L/S'], dtype='object')",4,141.5533685,0.110361392,-0.005678427,129.3573592,134.5407067
70,"Index(['const', 'MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",4,78.89709988,0.504145278,0.439468575,113.5749861,118.7583336
71,"Index(['const', 'MgO', 'P2O5', 'L/S'], dtype='object')",4,104.7867966,0.341432981,0.255532935,121.2371354,126.4204829
72,"Index(['const', 'MgO', 'Concentration(mM)', 'L/S'], dtype='object')",4,121.8974377,0.233895541,0.133968872,125.3209459,130.5042933
73,"Index(['const', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,30.31649798,0.809466017,0.784613759,87.75077082,92.93411828
74,"Index(['const', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,23.05612652,0.855096205,0.83619571,80.35923663,85.5425841
75,"Index(['const', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,26.38873169,0.834151354,0.812518922,84.00438682,89.18773428
76,"Index(['const', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,19.96587246,0.874517921,0.858150693,76.47374526,81.65709272
77,"Index(['const', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,26.15173658,0.835640827,0.814202674,83.76080652,88.94415398
78,"Index(['const', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,23.41692187,0.852828668,0.833632407,80.7784762,85.96182366
79,"Index(['const', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,65.71693424,0.586980356,0.533108228,108.6397148,113.8230622
80,"Index(['const', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,98.31565971,0.382102965,0.3015077,119.516035,124.6993825
81,"Index(['const', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,119.6119406,0.248259498,0.150206389,124.8099076,129.9932551
82,"Index(['const', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,81.01138953,0.490857331,0.424447418,114.2890088,119.4723563
83,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,30.21694191,0.97054076,0.965417414,87.66195986,92.84530732
84,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,22.29001322,0.978268918,0.974489599,79.4468314,84.63017886
85,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,28.05657583,0.972646954,0.967889903,85.65910741,90.84245487
86,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,20.99541708,0.979531052,0.975971235,77.83129826,83.01464572
87,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,26.01257605,0.9746397,0.970229213,83.61674852,88.80009599
88,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,23.28690784,0.977297021,0.973348677,80.6281507,85.81149817
89,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,133.7971573,0.869557862,0.846872272,127.8358578,133.0192052
90,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,139.3606565,0.864133869,0.840504977,128.9358465,134.1191939
91,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,136.3804925,0.867039305,0.843915705,128.3522008,133.5355483
92,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,118.6344153,0.884340392,0.864225677,124.5883443,129.7716917
93,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,21.22704912,0.979305228,0.975706137,78.12754471,83.31089217
94,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,26.15816129,0.974497765,0.970062594,83.76743881,88.95078627
95,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,23.177677,0.977403513,0.973473689,80.50120507,85.68455254
96,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,20.08126335,0.980422283,0.977017462,76.62934004,81.81268751
97,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,116.4141877,0.886504946,0.866766676,124.0782546,129.2616021
