,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,185.97358146270105,1.1102230246251565e-16,1.1102230246251565e-16,130.72641037985457,132.0222472458589
1,"Index(['MgO'], dtype='object')",1,476.79126927118057,0.6375042624928585,0.6235621187425838,156.14621313219698,157.4420499982013
2,"Index(['Al2O3'], dtype='object')",1,70.4423223112095,0.9464439824643804,0.9443841356360874,104.51453020757802,105.81036707358234
3,"Index(['SiO2'], dtype='object')",1,462.8282199852912,0.6481201151205169,0.634586273394383,155.3436966034336,156.63953346943794
4,"Index(['P2O5'], dtype='object')",1,636.6307184745654,0.5159812339561057,0.4973651275698021,163.95220913747215,165.24804600347647
5,"Index(['Concentration(mM)'], dtype='object')",1,188.06444643675275,0.8570180189872791,0.8515187120252514,131.02827242657318,132.3241092925775
6,"Index(['L/S'], dtype='object')",1,200.33348911385866,0.8476900887998358,0.8418320152921371,132.73463784471755,134.03047471072188
7,"Index(['const', 'MgO'], dtype='object')",2,184.97653609349805,0.005361220455944116,-0.034424330725818075,132.58126800883628,135.17294174084492
8,"Index(['const', 'Al2O3'], dtype='object')",2,44.654728202752416,0.7598867115880736,0.7502821800515966,94.20701071682791,96.79868444883657
9,"Index(['const', 'SiO2'], dtype='object')",2,178.115646560911,0.04225296324341676,0.00394308177315339,131.56077746687714,134.15245119888579
10,"Index(['const', 'P2O5'], dtype='object')",2,139.90627752558646,0.24770886044561058,0.217617214863435,125.04134971991152,127.63302345192018
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,147.2246635584277,0.20835710964702203,0.1766913940329029,126.41799848834147,129.00967222035013
12,"Index(['const', 'L/S'], dtype='object')",2,183.51146238742461,0.013239079744077897,-0.026231357066158978,132.36656794443388,134.95824167644253
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,43.89811685417091,0.966625059497101,0.963955064256869,93.74561382925464,96.3372875612633
14,"Index(['MgO', 'SiO2'], dtype='object')",2,343.74494334845207,0.7386569662990692,0.7177495236029947,149.3123837535009,151.90405748550955
15,"Index(['MgO', 'P2O5'], dtype='object')",2,401.54916676200924,0.6947094656886768,0.6702862229437709,153.5089949675462,156.10066869955483
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,165.999036264403,0.8737939493562437,0.8636974653047431,129.65859894393168,132.25027267594032
17,"Index(['MgO', 'L/S'], dtype='object')",2,199.6095499423972,0.8482404865960672,0.8360997255237526,134.63689203059664,137.22856576260529
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,49.15109755595543,0.9626313137296609,0.9596418188280338,96.79736319224573,99.38903692425438
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,64.84770075559273,0.950697471564499,0.946753269289659,104.28020470469002,106.87187843669868
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,37.17132999971378,0.9717393132995817,0.9694784583635483,89.2546050714859,91.84627880349456
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,37.04899008397295,0.9718323261142896,0.9695789122034327,89.16559492674742,91.75726865875608
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,400.99312348420506,0.6951322152880595,0.6707427925111042,153.47158093694492,156.06325466895356
