,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,189.28252404857727,0.0,0.0,131.20258525971516,132.4984221257195
1,"Index(['MgO'], dtype='object')",1,43.3939861719116,0.9421721933459536,0.9399480469361826,91.43374873994864,92.72958560595296
2,"Index(['Al2O3'], dtype='object')",1,272.31349198446526,0.637108886439225,0.6231515359176567,141.02284197149834,142.31867883750266
3,"Index(['SiO2'], dtype='object')",1,364.7424631168975,0.513935950661814,0.49524117953342217,148.91325656006313,150.20909342606745
4,"Index(['P2O5'], dtype='object')",1,461.87682758159565,0.3844925013904009,0.3608191360592624,155.28813812231303,156.58397498831735
5,"Index(['Concentration(mM)'], dtype='object')",1,289.40971293108913,0.6143260760401159,0.5994924635801203,142.66685656129542,143.96269342729974
6,"Index(['L/S'], dtype='object')",1,199.87295932405732,0.7336447773805772,0.7234003457413687,132.6724983671474,133.96833523315172
7,"Index(['const', 'MgO'], dtype='object')",2,42.722354979765896,0.774293188478395,0.7652649160175308,93.01258802564753,95.60426175765619
8,"Index(['const', 'Al2O3'], dtype='object')",2,185.63833085315943,0.01925266589578334,-0.019977227468385372,132.67769413253677,135.26936786454542
9,"Index(['const', 'SiO2'], dtype='object')",2,171.77082777025123,0.09251618112315463,0.05621682836808073,130.58143758681265,133.17311131882133
10,"Index(['const', 'P2O5'], dtype='object')",2,131.31944149192125,0.3062252199351506,0.27847422873255656,123.331172079946,125.92284581195466
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,186.5152367345862,0.01461987749741156,-0.02479532740269197,132.80493463043445,135.3966083624431
12,"Index(['const', 'L/S'], dtype='object')",2,188.8354943027761,0.0023617063859864285,-0.037543825358574257,133.13874377015782,135.73041750216646
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,27.838166041573736,0.9629022308050283,0.9599344092694306,81.44810028646367,84.03977401847233
14,"Index(['MgO', 'SiO2'], dtype='object')",2,43.38712892101023,0.942181331473475,0.937555837991353,93.42948177991883,96.02115551192749
15,"Index(['MgO', 'P2O5'], dtype='object')",2,41.16124973861253,0.9451475883756418,0.9407593954456932,92.00751179394925,94.5991855259579
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,41.401575457164384,0.9448273248918643,0.9404135108832135,92.16469664589394,94.7563703779026
17,"Index(['MgO', 'L/S'], dtype='object')",2,43.36434026393579,0.9422117001529041,0.9375886361651364,93.41529657335244,96.0069703053611
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,245.75542024175346,0.6725007730420727,0.6463008348854384,140.2521794078803,142.84385313988895
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,265.40604470170507,0.6463139067929216,0.6180190193363553,142.3291296422276,144.92080337423624
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,248.02627937742147,0.6694745748376545,0.6430325408246669,140.5005224670657,143.09219619907435
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,189.8415420222252,0.7470128707817751,0.7267739004443171,133.28220825164718,135.87388198365585
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,344.14709914653724,0.5413817981331537,0.5046923419838059,149.3439532647456,151.93562699675425
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,278.6138063534561,0.6287129451273032,0.5990099807374875,143.6404040511426,146.23207778315128
24,"Index(['SiO2', 'L/S'], dtype='object')",2,188.6391617604328,0.7486151898918036,0.728504405083148,133.11065722693624,135.7023309589449
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,288.1185159057974,0.6160467543763961,0.5853304947265078,144.54612695526544,147.13780068727408
26,"Index(['P2O5', 'L/S'], dtype='object')",2,169.69050740324172,0.7738665949178594,0.7557759225112881,130.25244370619853,132.8441174382072
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,195.4245352332685,0.7395728478560166,0.718738675684498,134.06479139936508,136.65646513137375
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,16.390213700643052,0.9134087323537767,0.9061927933832581,69.14556505193264,73.03307564994563
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,41.315224753216086,0.7817272093084886,0.763537810084196,94.10832430442002,97.99583490243302
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,30.77855581935676,0.8373935682965756,0.8238430323212903,86.1591770231793,90.04668762119229
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,40.99566340693768,0.7834154863846987,0.7653667769167569,93.89867525572366,97.78618585373664
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,39.75176225738536,0.7899871503869871,0.7724860795859027,93.06674809912818,96.95425869714117
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,171.35850621333876,0.0946945204018862,0.019252397102043406,132.51654842524903,136.40405902326202
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,130.35324088994008,0.31132976197799245,0.25394057547615856,125.13178149340007,129.01929209141306
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,180.4746904074689,0.046532735578103,-0.032922869790388276,133.91603022292162,137.80354082093461
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,184.8319138437403,0.023513053976894183,-0.05786085819169795,134.5601500438834,138.4476606418964
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,62.22222326004659,0.6712732801255443,0.6438793868026731,105.16431543388742,109.05182603190042
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,167.6000824166568,0.11455067889075654,0.04076323546498628,131.91776376537408,135.80527436338707
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,170.4836508809412,0.09931647552846212,0.02425951515583402,132.37834928827857,136.26585988629157
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,129.49700918386839,0.3158533264770159,0.25884110368343394,124.95384562666155,128.84135622467454
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,131.01132827713798,0.3078530152973057,0.2501740999054145,125.26774787216543,129.1552584701784
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,184.19914287228556,0.02685605130131885,-0.054239277756904514,134.46755711620284,138.35506771421583
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,23.672834909288138,0.9684530452062139,0.9645096758569907,79.07194638933143,82.95945698734442
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,16.8379761473406,0.977561332456613,0.9747564990136897,69.87327955950852,73.76079015752151
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,23.76717079983235,0.968327331066533,0.9643682474498496,79.17932716907124,83.06683776708422
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,14.735489063374661,0.9803631542598128,0.9779085485422894,66.27207317917154,70.15958377718454
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,40.849191389834594,0.9455634443835785,0.9387588749315259,93.80203512620875,97.68954572422174
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,40.04165030924163,0.9466395918775821,0.9399695408622798,93.26293000396402,97.15044060197701
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,43.246921110801686,0.942368175569982,0.9351641975162297,95.34208856260241,99.22959916061541
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,31.812075581297485,0.9576065091441185,0.9523073227871333,87.05092614101397,90.93843673902697
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,37.99241003631149,0.9493704557770455,0.9430417627491762,91.84451831596483,95.73202891397781
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,36.54938937516689,0.9512934577215979,0.9452051399367977,90.79902635728558,94.68653695529858
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,245.30010669947436,0.6731075341583612,0.6322459759281563,142.20210983940962,146.0896204374226
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,239.66422347950282,0.6806180395053039,0.6406952944434668,141.57453503312695,145.46204563113994
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,181.6979930767937,0.7578651481463976,0.7275982916646972,134.09842552320544,137.98593612121843
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,247.72977458817923,0.6698697038206516,0.6286034167982331,142.46822581551677,146.35573641352977
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,164.32364178655553,0.7810186013270072,0.7536459264928831,131.38470894599226,135.27221954400525
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,178.52806693573925,0.762089463360637,0.7323506462807166,133.62322272898345,137.51073332699644
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,276.8346481060989,0.6310838916157759,0.584969378067748,145.46743593293368,149.35494653094668
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,144.38439227904638,0.8075900958373082,0.7835388578169717,127.89202202641718,131.77953262443017
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,181.80427242252318,0.757723517888421,0.7274389576244735,134.1142138287475,138.0017244267605
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,167.50419724996448,0.7767801212375809,0.7488776363922784,131.90231245825308,135.78982305626607
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,15.509324964788364,0.9180625626018805,0.9073750707673431,69.65400465979812,74.83735212381544
64,"Index(['const', 'MgO', 'Al2O3', 'P2O5'], dtype='object')",4,15.466522480815986,0.9182886927435168,0.907630696144845,69.57938731124494,74.76273477526226
65,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",4,16.365339035164077,0.9135401478957239,0.9022627758821227,71.10455728128352,76.28790474530084
