,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,153.54645152986973,0.0,0.0,125.55317011204379,126.84900697804812
1,"Index(['MgO'], dtype='object')",1,34.64261821094313,0.9351991703245885,0.9327068307216881,85.35237134689334,86.64820821289766
2,"Index(['Al2O3'], dtype='object')",1,215.4336281320637,0.5970201282727552,0.5815209024370919,134.69671295489968,135.992549820904
3,"Index(['SiO2'], dtype='object')",1,275.7883340039191,0.4841234935121581,0.46428208941647187,141.36519438514784,142.66103125115217
4,"Index(['P2O5'], dtype='object')",1,342.2420319229964,0.3598183750614088,0.33519600487146295,147.19407633696056,148.48991320296489
5,"Index(['Concentration(mM)'], dtype='object')",1,229.69181866132283,0.5703494369774238,0.5538244153227092,136.42702468320138,137.7228615492057
6,"Index(['L/S'], dtype='object')",1,163.35763411571145,0.6944309994108206,0.682678345542006,127.22551594602938,128.5213528120337
7,"Index(['const', 'MgO'], dtype='object')",2,34.62350774907377,0.774507926402074,0.7654882434581569,87.33747279507125,89.92914652707991
8,"Index(['const', 'Al2O3'], dtype='object')",2,152.00129029633402,0.010063151692145222,-0.029534322240168942,127.28008867018724,129.87176240219588
9,"Index(['const', 'SiO2'], dtype='object')",2,140.05766271426285,0.08784826142975288,0.05136219188694302,125.0705491981667,127.66222293017536
10,"Index(['const', 'P2O5'], dtype='object')",2,110.80565983505481,0.278357404348745,0.24949170052269476,118.74508748384974,121.3367612158584
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,149.50708004121697,0.026307162740696555,-0.012640550749675628,126.83336665673994,129.42504038874858
12,"Index(['const', 'L/S'], dtype='object')",2,153.52475611216238,0.00014129546786123548,-0.03985305271342443,127.54935486486663,130.1410285968753
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,28.059240508296053,0.9475137227236152,0.9433148205415044,81.66167161625347,84.25334534826213
14,"Index(['MgO', 'SiO2'], dtype='object')",2,34.146432072185426,0.9361273124548731,0.9310174974512629,86.96285417676398,89.55452790877264
15,"Index(['MgO', 'P2O5'], dtype='object')",2,31.32339838273196,0.94140794465664,0.9367205802291713,84.63295041260278,87.22462414461144
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,34.580166106009386,0.9353159902540189,0.9301412694743404,87.30365307277754,89.8953268047862
17,"Index(['MgO', 'L/S'], dtype='object')",2,33.95743036062048,0.9364808500438886,0.9313993180473996,86.81299309309634,89.404666825105
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,197.17399984639877,0.6311757182247273,0.6016697756827054,134.3054232560288,136.89709698803745
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,210.87703637873844,0.6055434715232472,0.5739869492451068,136.11951574679506,138.7111894788037
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,200.52623028668256,0.6249051958158598,0.5948976114811286,134.76060210011872,137.35227583212736
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,157.49124792082904,0.7054043816855091,0.6818367322203498,128.2380723859917,130.82974611800034
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,262.4376001200228,0.5090967396791819,0.4698244788535164,142.0254455894446,144.61711932145323
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,221.39563120355876,0.5858678896282121,0.552737320798469,137.4337701730375,140.02544390504613
24,"Index(['SiO2', 'L/S'], dtype='object')",2,155.28478038731743,0.7095316946372261,0.6862942302082042,127.85712495846829,130.44879869047696
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,229.00678649754536,0.5716308254768965,0.5373612915150482,138.34637964977614,140.9380533817848
26,"Index(['P2O5', 'L/S'], dtype='object')",2,141.63300713334831,0.7350680506947005,0.7138734947502765,125.3725453045744,127.96421903658306
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,158.29976546181226,0.7038920073278953,0.6802033679141268,128.37632851349906,130.96800224550773
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,17.567400235663712,0.8855890184329901,0.8760547699690726,71.01829839007345,74.90580898808645
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,33.68549826239194,0.7806168887215279,0.7623349627816552,88.59590591621061,92.48341651422359
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,26.954589236832803,0.8244531933609076,0.8098242928076499,82.57723179928308,86.46474239729608
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,34.19241213465488,0.7773155172654488,0.7587584770375695,88.99918671613945,92.88669731415243
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,30.557540521432166,0.800988298870015,0.7844039904425163,85.96459539091481,89.8521059889278
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,140.04583926387986,0.08792526386299182,0.0119190358515745,127.06826980388368,130.95578040189667
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,109.19106746259231,0.2888727393263716,0.22961213427023597,120.34876543557696,124.23627603358995
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,146.0329615636864,0.04893300946600976,-0.03032257307848929,128.1985591407172,132.0860697387302
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,151.91445290190546,0.01062869647395781,-0.07181891215321223,129.26465932987927,133.15216992789226
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,58.590847266191616,0.6184161425912613,0.5866174878071998,103.54070475939278,107.42821535740578
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,134.56156167011022,0.12364264801043823,0.050612868677974765,125.9896740625106,129.8771846605236
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,139.75124089271395,0.08984389088582856,0.013997548459647624,127.01141317795785,130.89892377597084
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,107.774316580601,0.2980995945735977,0.2396078941213976,119.9961486559485,123.8836592539615
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,109.97929121503293,0.2837392846318013,0.22405089168445147,120.5429717433964,124.43048234140937
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,148.27787189441943,0.034312610828556855,-0.04616133826906332,128.61046211941812,132.49797271743108
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,23.84318731719604,0.9554000707783545,0.9498250796256489,79.26554570613185,83.15305630414483
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,18.55901729524009,0.9652843872432261,0.9609449356486294,72.50089143047734,76.38840202849033
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,22.91054566881226,0.9571446257723538,0.951787703993898,78.18821289199539,82.07572349000839
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,14.591185664050172,0.9727064238845624,0.9692947268701327,66.00636127947166,69.89387187748464
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,31.32285895765923,0.9414089536794583,0.9340850728893906,86.63248543743643,90.51999603544942
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,33.43574258033715,0.9374566943287529,0.929638781119847,88.39497296404355,92.28248356205654
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,33.947640294783355,0.9364991628741995,0.9285615582334745,88.80520776051713,92.69271835853013
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,28.000489247638374,0.9476236200302193,0.9410765725339967,83.60507895605272,87.49258955406572
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,30.856138565482834,0.9422819785892762,0.9350672259129358,86.22714962441141,90.11466022242439
