,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.009527161716987899,0.0,0.0,-136.01234224778125,-134.71650538177693
1,"Index(['MgO'], dtype='object')",1,0.02068567692150029,0.6163512412930274,0.6015955198042977,-115.07938595701484,-113.78354909101051
2,"Index(['Al2O3'], dtype='object')",1,0.01663263707399025,0.6915213076335177,0.6796567425424991,-120.96740206536168,-119.67156519935736
3,"Index(['SiO2'], dtype='object')",1,0.018737399369383803,0.6524851453137975,0.6391191893643282,-117.75022681415345,-116.45438994814913
4,"Index(['P2O5'], dtype='object')",1,0.02013611671915247,0.6265437087798591,0.6121800052713922,-115.80640065393357,-114.51056378792924
5,"Index(['Concentration(mM)'], dtype='object')",1,0.008398387056625238,0.8442385626710596,0.838247738158408,-139.4172360223157,-138.12139915631138
6,"Index(['L/S'], dtype='object')",1,0.008885483718139924,0.8352045808357257,0.8288662954832535,-137.89499676126803,-136.5991598952637
7,"Index(['run_number'], dtype='object')",1,0.016264166380401707,0.6983551823358829,0.6867534585795707,-121.57227085272024,-120.27643398671592
8,"Index(['const', 'MgO'], dtype='object')",2,0.009505018417825849,0.0023242283294683252,-0.03758280253735302,-134.0751694533783,-131.48349572136965
9,"Index(['const', 'Al2O3'], dtype='object')",2,0.009331236180285366,0.020564942899329308,-0.018612459384697466,-134.573384586753,-131.98171085474434
10,"Index(['const', 'SiO2'], dtype='object')",2,0.009478165310390183,0.005142812524148832,-0.03465147497488519,-134.1515564698815,-131.55988273787284
11,"Index(['const', 'P2O5'], dtype='object')",2,0.009526907368937534,2.6697148418408645e-05,-0.03997223496564484,-134.0130630804107,-131.42138934840204
12,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.007327302767097692,0.23090391611256422,0.2001400727570668,-141.10090525787015,-138.50923152586148
13,"Index(['const', 'L/S'], dtype='object')",2,0.00880567228507902,0.07572973497682844,0.03875892437590156,-136.13861264614198,-133.5469389141333
14,"Index(['const', 'run_number'], dtype='object')",2,0.009510456690713896,0.00175341059281231,-0.03817645298347516,-134.05972588742557,-131.4680521554169
15,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.012728195463308103,0.7639353834728795,0.7450502141507098,-126.19117662905501,-123.59950289704635
16,"Index(['MgO', 'SiO2'], dtype='object')",2,0.014569537532455611,0.7297847679593441,0.7081675493960916,-122.54311939876794,-119.95144566675928
17,"Index(['MgO', 'P2O5'], dtype='object')",2,0.014026235481750667,0.7398611680765314,0.7190500615226538,-123.56920957075945,-120.9775358387508
18,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.007661614338517306,0.8579031838398006,0.8465354385469847,-139.89629393263604,-137.30462020062737
19,"Index(['MgO', 'L/S'], dtype='object')",2,0.008803703115818712,0.8367213320972824,0.823659038665065,-136.1446511987924,-133.55297746678372
20,"Index(['MgO', 'run_number'], dtype='object')",2,0.01288656377461543,0.7609981914108481,0.7418780467237159,-125.85730670269285,-123.2656329706842
21,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.012208664876704606,0.7735709040032022,0.7554565763234583,-127.31636686479442,-124.72469313278576
22,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.01174832253216732,0.7821086845037968,0.7646773792641005,-128.35412450775664,-125.76245077574798
23,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.008184032840865503,0.8482141023216065,0.836071230507335,-138.11531100230397,-135.5236372702953
24,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.008509424359267917,0.8421791993980715,0.8295535353499173,-137.0626010907517,-134.47092735874304
25,"Index(['Al2O3', 'run_number'], dtype='object')",2,0.01205615364340075,0.7763994672437446,0.7585114246232442,-127.65577657613204,-125.06410284412338
26,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.013329688853681139,0.7527797324655289,0.7330021110627711,-124.94447473464396,-122.3528010026353
27,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.008033741672250579,0.8510014909336663,0.8390816102083596,-138.61574683168567,-136.02407309967703
28,"Index(['SiO2', 'L/S'], dtype='object')",2,0.00882855404537013,0.8362604321078213,0.823161266676447,-136.0685434678272,-133.47686973581852
29,"Index(['SiO2', 'run_number'], dtype='object')",2,0.014517951692691024,0.7307415093542544,0.7092008301025947,-122.63888697245551,-120.04721324044685
30,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,0.008172794624776577,0.8484225329022909,0.8362963355344741,-138.15241255916567,-135.56073882715702
31,"Index(['P2O5', 'L/S'], dtype='object')",2,0.008832968721325201,0.83617855492504,0.8230728393190432,-136.05504562227404,-133.46337189026536
32,"Index(['P2O5', 'run_number'], dtype='object')",2,0.01469762160862673,0.7274092451751656,0.7056019847891788,-122.30679361678398,-119.71511988477532
33,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.0073401666060490785,0.8638649429844785,0.8529741384232368,-141.05354552158525,-138.4618717895766
34,"Index(['Concentration(mM)', 'run_number'], dtype='object')",2,0.008150342210507302,0.8488389486133682,0.8367460645024376,-138.22668940603722,-135.63501567402858
35,"Index(['L/S', 'run_number'], dtype='object')",2,0.00880351201371413,0.8367248763895716,0.8236628665007373,-136.14523729452486,-133.55356356251622
36,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,0.009329769226441974,0.02071891885638444,-0.0608878379055835,-132.57762956208953,-128.69011896407653
37,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,0.00943361446598363,0.009819005259191105,-0.07269607763587627,-132.27876554679418,-128.39125494878118
38,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,0.009499384267308442,0.002915605980522651,-0.08017476018776715,-132.0911785930442,-128.2036679950312
39,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,0.007279916446761094,0.2358777290638132,0.17220087315246435,-139.2760837252464,-135.3885731272334
40,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,0.00870297057028702,0.08650962072274504,0.01038542244964058,-134.45536799104596,-130.56785739303297
41,"Index(['const', 'MgO', 'run_number'], dtype='object')",3,0.009497583854937208,0.003104582763400643,-0.0799700353396493,-132.09629637119238,-128.2087857731794
42,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,0.009323428820565582,0.02138442722758027,-0.060166870503454595,-132.59598469506182,-128.70847409704882
43,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,0.009305803827113924,0.02323440038592728,-0.05816273291524543,-132.647073752156,-128.759563154143
44,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.007325829242075786,0.23105858180059158,0.1669801302839743,-139.10633552024694,-135.21882492223395
45,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,0.008507871003622975,0.1069878672834349,0.032570189557054596,-135.06753026447007,-131.18001966645707
46,"Index(['const', 'Al2O3', 'run_number'], dtype='object')",3,0.009301266778788824,0.023710622839148487,-0.05764682525758902,-132.660240822868,-128.772730224855
47,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,0.009462706696683067,0.006765395846057953,-0.07600415450010378,-132.19562863959044,-128.30811804157744
48,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.0073191450575720175,0.23176017422678608,0.16774018874568497,-139.13098192664424,-135.24347132863124
