,x_values,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['MgO'], dtype='object')",0.16133889287065645,0.843722852029923,0.8377121924926123,-59.61961603186657,-58.32377916586224
1,"Index(['Al2O3'], dtype='object')",0.16991072567375737,0.8354199465152627,0.8290899444581574,-58.221931909074954,-56.926095043070625
2,"Index(['SiO2'], dtype='object')",0.28601490136120006,0.7229583501759567,0.7123029021058012,-44.16112149423169,-42.865284628227364
3,"Index(['P2O5'], dtype='object')",0.39382883158832527,0.618526906352628,0.6038548642892675,-35.52456493422578,-34.22872806822145
4,"Index(['Concentration(mM)'], dtype='object')",0.17325255800534423,0.8321829587283608,0.82572845714099,-57.696046246451374,-56.400209380447045
5,"Index(['L/S'], dtype='object')",0.058228669404688654,0.9435981602281576,0.9414288586984714,-87.13610557916735,-85.84026871316303
6,"Index(['MgO', 'Al2O3'], dtype='object')",0.02406459809112104,0.976690389466466,0.9748256206237833,-108.99427847719107,-106.40260474518242
7,"Index(['MgO', 'SiO2'], dtype='object')",0.09529075281391651,0.9076988393020707,0.9003147464462364,-71.83712223520894,-69.24544850320028
8,"Index(['MgO', 'P2O5'], dtype='object')",0.11104116012552631,0.8924425753583313,0.8838379813869978,-67.70698161953536,-65.1153078875267
9,"Index(['MgO', 'Concentration(mM)'], dtype='object')",0.056931873423586854,0.9448542713481719,0.9404426130560256,-85.74421267388448,-83.15253894187582
10,"Index(['MgO', 'L/S'], dtype='object')",0.03936960886749314,0.9618655484673387,0.9588147923447259,-95.70346452832197,-93.11179079631331
11,"Index(['Al2O3', 'SiO2'], dtype='object')",0.10064271520935288,0.9025147860070452,0.8947159688876087,-70.36173427722048,-67.77006054521182
12,"Index(['Al2O3', 'P2O5'], dtype='object')",0.1220052071336774,0.8818225074617619,0.8723683080587029,-65.16458653993985,-62.57291280793119
13,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",0.11240561068711998,0.891120932210061,0.8824106067868658,-67.37723308089016,-64.7855593488815
14,"Index(['Al2O3', 'L/S'], dtype='object')",0.03544082768424611,0.9656710705419731,0.9629247561853309,-98.54196616196606,-95.9502924299574
15,"Index(['SiO2', 'P2O5'], dtype='object')",0.21190273877652396,0.7947453644076276,0.7783249935602378,-50.25886759037951,-47.66719385837085
16,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",0.14410764104560786,0.8604135014031749,0.8492465815154289,-60.66917287657765,-58.07749914456899
17,"Index(['SiO2', 'L/S'], dtype='object')",0.05526728262331842,0.9464666383241356,0.9421839693900664,-86.54541744465058,-83.95374371264192
18,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",0.16885613818672945,0.8364414480380838,0.8233567638811305,-56.3900354467396,-53.798361714730945
19,"Index(['P2O5', 'L/S'], dtype='object')",0.053114993857763984,0.9485514025363119,0.9444355147392168,-87.61790713960792,-85.02623340759926
20,"Index(['Concentration(mM)', 'L/S'], dtype='object')",0.05795773784339846,0.9438605917531306,0.9393694390933811,-85.26202677058961,-82.67035303858096
21,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",0.013330461455043942,0.9870877600543012,0.9854737300610888,-122.94290983447948,-119.05539923646649
22,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",0.016810404555630574,0.9837169944987584,0.9816816188111032,-116.68036075713596,-112.79285015912296
23,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",0.017156153310693003,0.9833820930475708,0.9813048546785172,-116.13067074362456,-112.24316014561157
24,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",0.008179524427790448,0.9920770948245478,0.9910867316776162,-136.13018883774134,-132.24267823972835
25,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",0.07762841707455259,0.9248070480341747,0.9154079290384465,-75.37210101322279,-71.4845904152098
26,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",0.05077821857463715,0.9508148653021484,0.944666723464917,-86.83268477220832,-82.94517417419533
