,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.05114177663818398,1.1102230246251565e-16,1.1102230246251565e-16,-90.64006095331408,-89.34422408730975
1,"Index(['MgO'], dtype='object')",1,0.16133889287065645,0.843722852029923,0.8377121924926123,-59.61961603186657,-58.32377916586224
2,"Index(['Al2O3'], dtype='object')",1,0.16991072567375737,0.8354199465152627,0.8290899444581574,-58.221931909074954,-56.926095043070625
3,"Index(['SiO2'], dtype='object')",1,0.28601490136120006,0.7229583501759567,0.7123029021058012,-44.16112149423169,-42.865284628227364
4,"Index(['P2O5'], dtype='object')",1,0.39382883158832527,0.618526906352628,0.6038548642892675,-35.52456493422578,-34.22872806822145
5,"Index(['Concentration(mM)'], dtype='object')",1,0.17325255800534423,0.8321829587283608,0.82572845714099,-57.696046246451374,-56.400209380447045
6,"Index(['L/S'], dtype='object')",1,0.058228669404688654,0.9435981602281576,0.9414288586984714,-87.13610557916735,-85.84026871316303
7,"Index(['const', 'MgO'], dtype='object')",2,0.032671794563408046,0.361152531040263,0.3355986322818735,-100.73847896050938,-98.14680522850072
8,"Index(['const', 'Al2O3'], dtype='object')",2,0.03888517955052965,0.23965919632332822,0.20924556417626128,-96.03775100206869,-93.44607727006003
9,"Index(['const', 'SiO2'], dtype='object')",2,0.04553022736280665,0.109725348712027,0.07411436266050808,-91.77814315986839,-89.18646942785973
10,"Index(['const', 'P2O5'], dtype='object')",2,0.03264907413552748,0.36159679460273775,0.3360606663868473,-100.75726167389743,-98.16558794188877
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.05103203976349499,0.0021457384139264013,-0.03776843204951663,-88.6980581361581,-86.10638440414944
12,"Index(['const', 'L/S'], dtype='object')",2,0.047232910446874,0.07643195931506819,0.039489237687670875,-90.78685269056754,-88.19517895855888
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.02406459809112104,0.976690389466466,0.9748256206237833,-108.99427847719107,-106.40260474518242
14,"Index(['MgO', 'SiO2'], dtype='object')",2,0.09529075281391651,0.9076988393020707,0.9003147464462364,-71.83712223520894,-69.24544850320028
15,"Index(['MgO', 'P2O5'], dtype='object')",2,0.11104116012552631,0.8924425753583313,0.8838379813869978,-67.70698161953536,-65.1153078875267
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.056931873423586854,0.9448542713481719,0.9404426130560256,-85.74421267388448,-83.15253894187582
17,"Index(['MgO', 'L/S'], dtype='object')",2,0.03936960886749314,0.9618655484673387,0.9588147923447259,-95.70346452832197,-93.11179079631331
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.10064271520935288,0.9025147860070452,0.8947159688876087,-70.36173427722048,-67.77006054521182
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.1220052071336774,0.8818225074617619,0.8723683080587029,-65.16458653993985,-62.57291280793119
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.11240561068711998,0.891120932210061,0.8824106067868658,-67.37723308089016,-64.7855593488815
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.03544082768424611,0.9656710705419731,0.9629247561853309,-98.54196616196606,-95.9502924299574
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.21190273877652396,0.7947453644076276,0.7783249935602378,-50.25886759037951,-47.66719385837085
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.14410764104560786,0.8604135014031749,0.8492465815154289,-60.66917287657765,-58.07749914456899
24,"Index(['SiO2', 'L/S'], dtype='object')",2,0.05526728262331842,0.9464666383241356,0.9421839693900664,-86.54541744465058,-83.95374371264192
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,0.16885613818672945,0.8364414480380838,0.8233567638811305,-56.3900354467396,-53.798361714730945
26,"Index(['P2O5', 'L/S'], dtype='object')",2,0.053114993857763984,0.9485514025363119,0.9444355147392168,-87.61790713960792,-85.02623340759926
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.05795773784339846,0.9438605917531306,0.9393694390933811,-85.26202677058961,-82.67035303858096
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,0.010209537169796255,0.8003679605809098,0.7837319572959855,-130.1446050193914,-126.25709442137841
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,0.030893338848743998,0.395927539488761,0.3455881677794912,-100.24971120705806,-96.36220060904506
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,0.02402047230896437,0.530316037338641,0.4911757071168611,-107.04383217203826,-103.15632157402527
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,0.030664751888395125,0.40039721135734063,0.35043031230378574,-100.45023322532109,-96.56272262730809
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,0.03132182119652317,0.38754921601340375,0.3365116506811875,-99.87780164991361,-95.99029105190061
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,0.03706513106701006,0.275247488384357,0.21485144574972015,-95.3320371870505,-91.44452658903751
