,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.009760107165867353,0.0,0.0,-135.3601158487821,-134.06427898277778
1,"Index(['MgO'], dtype='object')",1,0.032688436949917035,0.7616932624744736,0.7525276187234917,-102.7247291791806,-101.42889231317628
2,"Index(['Al2O3'], dtype='object')",1,0.042213086983012287,0.6922562233484688,0.6804199242464868,-95.8205892633361,-94.52475239733178
3,"Index(['SiO2'], dtype='object')",1,0.031192024495819502,0.7726024769613857,0.7638564183829775,-103.9899213224804,-102.69408445647608
4,"Index(['P2O5'], dtype='object')",1,0.042513818522160574,0.6900638165327113,0.6781431940916618,-95.62891967249095,-94.33308280648663
5,"Index(['Concentration(mM)'], dtype='object')",1,0.02924407237746405,0.7868035265524829,0.7786036621891168,-105.73103083835184,-104.43519397234752
6,"Index(['L/S'], dtype='object')",1,0.0069891379476235155,0.9490474669998487,0.9470877541921505,-144.37666212433854,-143.08082525833422
7,"Index(['const', 'MgO'], dtype='object')",2,0.009281665294412905,0.04902014530410437,0.010980951116268511,-134.7172006473292,-132.12552691532056
8,"Index(['const', 'Al2O3'], dtype='object')",2,0.00946558670969912,0.030175944911570052,-0.008617017291967288,-134.1874123307702,-131.59573859876156
9,"Index(['const', 'SiO2'], dtype='object')",2,0.009719548066009769,0.004155599848270741,-0.03567817615779845,-133.4725508242093,-130.88087709220065
10,"Index(['const', 'P2O5'], dtype='object')",2,0.009687833179918889,0.007405040202961954,-0.032298758188919585,-133.56079587652783,-130.9691221445192
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.009631910366086517,0.013134773789078902,-0.026339835259358013,-133.71710438931228,-131.12543065730364
12,"Index(['const', 'L/S'], dtype='object')",2,0.00693185038801267,0.28977722578144904,0.26136831481270695,-142.59888382349925,-140.0072100914906
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.020829161748485876,0.8481502927387369,0.8360023161578358,-112.89274879888774,-110.30107506687908
14,"Index(['MgO', 'SiO2'], dtype='object')",2,0.01625333492330931,0.8815091946605488,0.8720299302333927,-119.59025804980402,-116.99858431779536
15,"Index(['MgO', 'P2O5'], dtype='object')",2,0.018330517383036864,0.8663660241265358,0.8556753060566586,-116.34299035967109,-113.75131662766243
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.01737326013048946,0.8733446647136258,0.8632122378907159,-117.79113636990377,-115.19946263789511
17,"Index(['MgO', 'L/S'], dtype='object')",2,0.006832255652747416,0.9501911774784109,0.9462064716766837,-142.989625478093,-140.39795174608435
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.021162542550669693,0.8457198647729154,0.8333774539547486,-112.46402265231819,-109.87234892030953
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.024961250357651815,0.8180263514464254,0.8034684595621395,-108.00654193058114,-105.41486819857248
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.02725427024095231,0.801309673059272,0.7854144469040137,-105.63363131868479,-103.04195758667613
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.006939465166129786,0.9494095937824698,0.9453623612850673,-142.56924005553617,-139.97756632352753
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.018703712405530468,0.8636453407115572,0.8527369679684818,-115.7988123516204,-113.20713861961174
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.020200766690729836,0.8527314471182027,0.8409499628876589,-113.71985203739743,-111.12817830538877
24,"Index(['SiO2', 'L/S'], dtype='object')",2,0.006983593213524673,0.9490878894738741,0.945014920631784,-142.39809069500245,-139.8064169629938
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,0.024843587223646366,0.8188841446053589,0.8043948761737876,-108.1341163062001,-105.54244257419144
26,"Index(['P2O5', 'L/S'], dtype='object')",2,0.006978969672079718,0.9491215962270986,0.9450513239252665,-142.41597217200624,-139.82429843999756
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.0055873997655778215,0.9592664827802627,0.9560078014026837,-148.42042856181004,-145.82875482980137
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,0.00913696404044001,0.06384593066832034,-0.014166908442653003,-133.14144657449546,-129.25393597648247
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,0.009131697155992276,0.06438556454305411,-0.013582305078357892,-133.157014861903,-129.26950426389
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,0.009281298520094676,0.04905772422736787,-0.030187465420351334,-132.7182676005046,-128.8307570024916
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,0.009243238401795544,0.05295728369452557,-0.0259629426642638,-132.82921500441324,-128.94170440640025
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,0.006794140797505002,0.30388666004967724,0.2458772150538171,-141.1406711018125,-137.2531605037995
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,0.00946438250433458,0.0302993252540269,-0.0505090643081374,-132.19084747052335,-128.30333687251036
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,0.009209514823017935,0.056412530466358746,-0.022219758661444544,-132.927903544777,-129.040392946764
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.009418103144482267,0.03504101087958633,-0.045372238213781335,-132.32319712419232,-128.43568652617932
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,0.006810454628395106,0.3022151793361092,0.24406644428078506,-141.07591744595308,-137.1884068479401
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,0.009678990337686062,0.008311059172072421,-0.07432968589692157,-131.58545214054152,-127.69794154252853
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.00960289273606958,0.01610785897388267,-0.06588315277829371,-131.79856886811785,-127.91105827010486
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,0.006931561458187003,0.28980682892214793,0.23062406466566032,-140.60000924707904,-136.71249864906605
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.009567264352650396,0.01975826801281033,-0.06192854298612205,-131.89892980469855,-128.01141920668556
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,0.006931850375645528,0.28977722704856035,0.2305919959692737,-140.59888387167004,-136.71137327365705
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005522366723550144,0.4341899499973998,0.38703911249718315,-146.73653100958705,-142.84902041157406
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,0.012874307110625116,0.9061431377053791,0.8944110299185515,-123.88299915340104,-119.99548855538805
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,0.013826019031660534,0.8992049239476033,0.8866055394410537,-121.9573962626499,-118.0698856646369
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.016523254908384306,0.8795414116449609,0.8644840881005811,-117.14555014156014,-113.25803954354714
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,0.006807155406580117,0.9503741644405707,0.944170934995642,-141.08900035705406,-137.20148975904107
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,0.010633960448482145,0.9224758153674981,0.9127852922884354,-129.044884336874,-125.157373738861
