,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.3416891582697176,1.1102230246251565e-16,1.1102230246251565e-16,-39.35896851644604,-38.06313165044171
1,"Index(['MgO'], dtype='object')",1,0.38398866469719883,0.26531161919214064,0.23705437377645366,-36.2077552269556,-34.91191836095127
2,"Index(['Al2O3'], dtype='object')",1,0.39267097534323436,0.2486996893706267,0.21980352357718924,-35.60406181630101,-34.30822495029668
3,"Index(['SiO2'], dtype='object')",1,0.3929984964857434,0.2480730407218702,0.21915277305732672,-35.58155089618238,-34.28571403017805
4,"Index(['P2O5'], dtype='object')",1,0.3489788999648767,0.3322960635999901,0.30661514296922043,-38.78899765240517,-37.49316078640084
5,"Index(['Concentration(mM)'], dtype='object')",1,0.34000502479370537,0.34946584600562103,0.32444530162122176,-39.492376421319776,-38.19653955531545
6,"Index(['L/S'], dtype='object')",1,0.32815045248891433,0.37214728775767014,0.3479991065175805,-40.450557726238245,-39.154720860233915
7,"Index(['run_number'], dtype='object')",1,0.33186271596433226,0.3650445863171532,0.3406232242524283,-40.14682993535372,-38.85099306934939
8,"Index(['const', 'MgO'], dtype='object')",2,0.34168883386216586,9.494230177597984e-07,-0.039999012600061556,-37.35899415087968,-34.76732041887102
9,"Index(['const', 'Al2O3'], dtype='object')",2,0.340470233449491,0.0035673500043112982,-0.03628995599551632,-37.45545917705289,-34.86378544504423
10,"Index(['const', 'SiO2'], dtype='object')",2,0.3383489583259924,0.009775551441666197,-0.029833426500667226,-37.62420695396773,-35.03253322195907
11,"Index(['const', 'P2O5'], dtype='object')",2,0.33308749243837205,0.02517395013322521,-0.01381909186144581,-38.047366842393984,-35.455693110385326
12,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.33440824018982634,0.02130860141059543,-0.017839054532980736,-37.9405190107631,-35.34884527875444
13,"Index(['const', 'L/S'], dtype='object')",2,0.3250545289834861,0.048683515071030525,0.010630855673871675,-38.70649747850379,-36.114823746495134
14,"Index(['const', 'run_number'], dtype='object')",2,0.3276179792199184,0.04118122775991595,0.002828476870312513,-38.49440485497256,-35.9027311229639
15,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.3661875364578851,0.2993706508383158,0.2433203029053811,-35.489376006208204,-32.897702274199546
16,"Index(['MgO', 'SiO2'], dtype='object')",2,0.3682565345762724,0.29541202128165656,0.23904498298418908,-35.337252518043925,-32.74557878603527
17,"Index(['MgO', 'P2O5'], dtype='object')",2,0.3342495266468724,0.36047788360723565,0.3093161142958144,-37.953336526547005,-35.36166279453835
18,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.33568066267179686,0.35773968035923964,0.30635885478797875,-37.83797903984542,-35.246305307836764
19,"Index(['MgO', 'L/S'], dtype='object')",2,0.32710000330663425,0.3741571200256587,0.32408968962771134,-38.53712661594375,-35.94545288393509
20,"Index(['MgO', 'run_number'], dtype='object')",2,0.32629205732360156,0.3757029691108722,0.3257592066397419,-38.60389985662022,-36.01222612461156
21,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.37339187667288587,0.285586532883892,0.22843345551460337,-34.96333827379718,-32.37166454178852
22,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.3387975335172575,0.35177614808558655,0.2999182399324334,-37.588434688788126,-34.99676095677947
23,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.3394193879943459,0.35058634926891974,0.2986332572104333,-37.53892228337925,-34.94724855137059
24,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.32649862668714785,0.3753077384043928,0.32533235747674416,-38.58681207292929,-35.99513834092063
25,"Index(['Al2O3', 'run_number'], dtype='object')",2,0.33123453977702955,0.3662464805092003,0.3155461989499363,-38.197986117901934,-35.606312385893276
26,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.339807144825253,0.3498444512275518,0.2978320073257559,-37.50809476099619,-34.91642102898753
27,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.3398993716456184,0.3496679929631529,0.297641432400205,-37.500767704083216,-34.90909397207456
28,"Index(['SiO2', 'L/S'], dtype='object')",2,0.32114440823818313,0.38555200456225835,0.336396164927239,-39.03325304109842,-36.44157930908976
29,"Index(['SiO2', 'run_number'], dtype='object')",2,0.33120306512374265,0.3663067011984701,0.3156112372943477,-38.20055184072051,-35.60887810871185
30,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,0.32672760655471533,0.37486962951314884,0.32485919987420075,-38.567883082135836,-35.97620935012718
31,"Index(['P2O5', 'L/S'], dtype='object')",2,0.32164539881064586,0.384593455557243,0.3353609320018224,-38.991165416039124,-36.399491684030465
32,"Index(['P2O5', 'run_number'], dtype='object')",2,0.32291929233826866,0.382156105554037,0.33272859399835997,-38.88444169846417,-36.292767966455514
33,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.32707022240417005,0.37421410004882605,0.3241512280527321,-38.53958494967857,-35.94791121766991
34,"Index(['Concentration(mM)', 'run_number'], dtype='object')",2,0.32300741921919623,0.3819874917343936,0.33254649107314505,-38.87707421928353,-36.28540048727487
35,"Index(['L/S', 'run_number'], dtype='object')",2,0.31929597534334564,0.3890886250289355,0.34021571503125025,-39.18910775613308,-36.597434024124425
36,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,0.3403761873587945,0.003842588736417296,-0.0791705288688811,-35.462918258535424,-31.575407660522437
37,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,0.3381067637565267,0.010484366935526568,-0.07197526915317942,-35.643540824438546,-31.75603022642556
38,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,0.33182693205263036,0.02886315230787151,-0.0520649183331392,-36.149741433581184,-32.2622308355682
39,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,0.3339772216923076,0.022570035925232657,-0.05888246108099793,-35.9753417342059,-32.08783113619291
40,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,0.32436782744803055,0.05069324092517513,-0.028415655664393524,-36.76359729400568,-32.87608669599269
41,"Index(['const', 'MgO', 'run_number'], dtype='object')",3,0.3260660374999374,0.045723197214960765,-0.03379986968379245,-36.62260901507641,-32.73509841706342
42,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,0.33525853968849284,0.018820083767915996,-0.06294490925142426,-35.87195327182627,-31.984442673813284
43,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,0.33308715845387893,0.025174927584470153,-0.05606049511682398,-36.04739391511825,-32.15988331710526
44,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.3307402833941143,0.03204337805462543,-0.04861967377415577,-36.238304644683936,-32.35079404667095
45,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,0.32465583741072324,0.04985034042417258,-0.02932879787381304,-36.73963431723247,-32.852123719219485
46,"Index(['const', 'Al2O3', 'run_number'], dtype='object')",3,0.32706629578223384,0.04279580470604516,-0.03697121156845107,-36.53990909850479,-32.652398500491806
47,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,0.33270828883913683,0.026283741269577,-0.0548592802912915,-36.07812251425116,-32.190611916238176
48,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.33186464653371667,0.02875277572677859,-0.05218449296265648,-36.14667286672487,-32.25916226871188
49,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,0.31981555733875355,0.06401608128782887,-0.01398257860485197,-37.145207071356495,-33.25769647334351
