,File#,PC_Name,Concentration(mM),L/S,Pan_#,Initial_mass_TGA_mg,Intial_mass_external_mg,NEUP_Sample_#
0,0,Al-Axial,1000,0124,3,30.635,31.3,28
1,1,Al-Axial,0807,0109,3,31.156,31.3,65
2,2,Al-Axial,0617,0094,1,32.019,31.8,86
3,3,Al-Corner,0833,0143,3,29.176,30.1,34
4,4,Al-Corner,0465,0120,1,33.131,32.8,77
5,5,Centroid,0714,0170,13,29.993,29.7,101
6,6,Centroid,0714,0173,15,32.829,32.8,102
7,7,Centroid,0593,0153,3,31.223,31.5,104
8,8,Centroid,0655,0157,5,28.740,28.9,105
9,9,Centroid,0821,0178,11,29.109,29.5,106
10,10,Centroid,0893,0181,13,28.797,30.1,107
11,11,Centroid,0714,0172,11,27.709,30.8,108
12,12,Centroid,0714,0172,13,26.274,32.8,109
13,13,Centroid,1000,0171,1,32.410,32.1,73
14,14,Mg-Axial,0714,0161,1,31.551,31.8,30
15,15,Mg-Axial,0714,0171,15,30.392,31.6,30
16,16,Mg-Axial,0714,0162,5,30.536,30.5,20
17,17,Mg-Axial,0255,0149,1,29.623,29.6,58
18,18,Mg-Axial,0362,0149,1,20.687,31.3,88
19,19,Mg-Corner,0714,0162,1,29.949,29.8,32
20,20,Mg-Corner,0251,0113,1,30.801,30.9,55
21,21,Mg-Corner,0455,0127,3,32.493,32.4,80
22,22,P-Axial,0833,0143,5,16.500,31.4,24
23,23,P-Axial,0455,0124,1,27.804,28.3,90
24,24,P-Corner,1000,0124,5,29.532,29.9,36
25,25,P-Corner,0500,0117,1,31.805,31.9,82
26,26,P-Corner,0209,0106,3,31.167,31.3,49
27,27,P-Corner,0209,0106,1,29.622,29.8,49
28,28,Si-Axial,0714,0162,1,30.085,30.1,38
29,29,Si-Axial,0385,0146,15,29.862,30.2,99
30,30,Si-Corner,0455,0126,11,30.421,30.4,100
31,31,Si-Corner,0833,0143,3,28.881,29.5,40
32,32,Si-Corner,0242,0108,5,27.785,28.0,53
