,x_values,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['MgO'], dtype='object')",0.06707311574605795,0.8062433886978904,0.7987912113401169,-83.31815790899421,-82.02232104298989
1,"Index(['Al2O3'], dtype='object')",0.040163146611319187,0.883979220286984,0.879516882605714,-97.16466186846296,-95.86882500245864
2,"Index(['SiO2'], dtype='object')",0.11576441621006714,0.6655870128480218,0.652724974880638,-68.58226187641705,-67.28642501041273
3,"Index(['P2O5'], dtype='object')",0.16680460539867334,0.5181453145251862,0.4996124420069241,-58.720083425705525,-57.424246559701196
4,"Index(['Concentration(mM)'], dtype='object')",0.06192286819225942,0.8211211009122603,0.8142411432550396,-85.47528929471824,-84.17945242871392
5,"Index(['L/S'], dtype='object')",0.041628932388677084,0.8797449502376999,0.8751197560160731,-96.19683089934335,-94.90099403333903
6,"Index(['MgO', 'Al2O3'], dtype='object')",0.004926145362000171,0.985769660146154,0.9846312329578463,-151.82127329483097,-149.22959956282233
7,"Index(['MgO', 'SiO2'], dtype='object')",0.04963692145507655,0.8566119735213007,0.8451409314030047,-89.44646371487048,-86.85478998286182
8,"Index(['MgO', 'P2O5'], dtype='object')",0.05939086582864136,0.8284353905844589,0.8147102218312157,-84.60251522496159,-82.01084149295293
9,"Index(['MgO', 'Concentration(mM)'], dtype='object')",0.028543935636746634,0.9175440684291366,0.9109475939034675,-104.38530558063661,-101.79363184862795
10,"Index(['MgO', 'L/S'], dtype='object')",0.03346356174503578,0.9033325609866556,0.8955991658655881,-100.0919644025279,-97.50029067051925
11,"Index(['Al2O3', 'SiO2'], dtype='object')",0.029058337606598827,0.9160580962714835,0.9093427439732021,-103.90305994588448,-101.31138621387582
12,"Index(['Al2O3', 'P2O5'], dtype='object')",0.03681069300727217,0.8936635780604765,0.8851566643053146,-97.51802102851948,-94.92634729651083
13,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",0.02930597296306304,0.9153427427803954,0.908570162202827,-103.67394065424887,-101.08226692224021
14,"Index(['Al2O3', 'L/S'], dtype='object')",0.018599219439126787,0.94627174104997,0.9419734803339677,-115.95007753817609,-113.35840380616743
15,"Index(['SiO2', 'P2O5'], dtype='object')",0.10073428353162114,0.7090051177445124,0.6857255271640733,-70.3371798853376,-67.74550615332895
16,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",0.05730858406052877,0.8344505555977134,0.8212066000455305,-85.56614573879523,-82.97447200678657
17,"Index(['SiO2', 'L/S'], dtype='object')",0.04023206075408117,0.8837801454322701,0.8744825570668517,-95.11837347960795,-92.5266997475993
18,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",0.06128865362094841,0.8229531802007921,0.8087894346168555,-83.75324941418563,-81.16157568217697
19,"Index(['P2O5', 'L/S'], dtype='object')",0.03458817225124518,0.9000838566690739,0.8920905652025998,-99.19948902992022,-96.60781529791156
20,"Index(['Concentration(mM)', 'L/S'], dtype='object')",0.0403197032011184,0.8835269694264253,0.8742091269805393,-95.0596200299608,-92.46794629795214
21,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",0.004344348642001623,0.9874503180323985,0.9858816077864483,-153.2146595037153,-149.3271489057023
22,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",0.004793617986971716,0.9861524969177078,0.9844215590324212,-150.55760004765492,-146.67008944964192
23,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",0.004265780395861303,0.9876772810556421,0.9861369411875974,-153.70742831564266,-149.81991771762966
24,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",0.004769444389302227,0.9862223280909778,0.98450011910235,-150.69410203866676,-146.80659144065376
25,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",0.04817670431878939,0.8608301572294118,0.8434339268830883,-88.25266615553599,-84.365155557523
26,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",0.02823694957052452,0.9184308705293008,0.9082347293454635,-102.67725962533885,-98.78974902732585
27,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",0.03320623149402491,0.904075920481243,0.8920854105413983,-98.30039316593161,-94.41288256791861
28,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",0.026238183996033417,0.924204779198863,0.9147303765987209,-104.6594817578393,-100.77197115982631
29,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",0.02955147465176166,0.9146335528949682,0.9039627470068392,-101.44869867364554,-97.56118807563254
30,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",0.027981912423306506,0.9191676058494282,0.9090635565806068,-102.92223257459293,-99.03472197657993
31,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",0.028722997679773293,0.9170268052263799,0.9066551558796774,-102.216458022795,-98.328947424782
32,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",0.026077404274665858,0.9246692295771072,0.9152528832742456,-104.82543864707728,-100.93792804906428
33,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",0.018462687839171647,0.9466661449754283,0.9399994130973569,-114.14900793034599,-110.261497332333
34,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",0.029233026975261735,0.9155534645762633,0.9049976476482962,-101.7412305871872,-97.85371998917421
35,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",0.014955083201136386,0.9567986933279807,0.9513985299939783,-119.83792322310498,-115.95041262509199
36,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",0.01835844405761804,0.9469672778755253,0.9403381876099659,-114.30188696891233,-110.41437637089933
37,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.056451816994206386,0.8369255305798564,0.8165412219023385,-83.97284522228313,-80.08533462427013
38,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",0.03068469043083146,0.9113599902046954,0.9002799889802823,-100.43268324786786,-96.54517264985486
