,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.0363496572292496,2.220446049250313e-16,2.220446049250313e-16,-99.85831821809361,-98.56248135208929
1,"Index(['MgO'], dtype='object')",1,0.06707311574605795,0.8062433886978904,0.7987912113401169,-83.31815790899421,-82.02232104298989
2,"Index(['Al2O3'], dtype='object')",1,0.040163146611319187,0.883979220286984,0.879516882605714,-97.16466186846296,-95.86882500245864
3,"Index(['SiO2'], dtype='object')",1,0.11576441621006714,0.6655870128480218,0.652724974880638,-68.58226187641705,-67.28642501041273
4,"Index(['P2O5'], dtype='object')",1,0.16680460539867334,0.5181453145251862,0.4996124420069241,-58.720083425705525,-57.424246559701196
5,"Index(['Concentration(mM)'], dtype='object')",1,0.06192286819225942,0.8211211009122603,0.8142411432550396,-85.47528929471824,-84.17945242871392
6,"Index(['L/S'], dtype='object')",1,0.041628932388677084,0.8797449502376999,0.8751197560160731,-96.19683089934335,-94.90099403333903
7,"Index(['const', 'MgO'], dtype='object')",2,0.029229137993262776,0.19588958407720936,0.16372516744029775,-103.7448227399644,-101.15314900795575
8,"Index(['const', 'Al2O3'], dtype='object')",2,0.019531293907365056,0.4626828587630053,0.4411901731135255,-114.62982125681881,-112.03814752481016
9,"Index(['const', 'SiO2'], dtype='object')",2,0.033341088214387145,0.08276746589075246,0.04607816452638247,-100.19096317085476,-97.5992894388461
10,"Index(['const', 'P2O5'], dtype='object')",2,0.01975824294906566,0.4564393599517431,0.4346969343498128,-114.31789636440229,-111.72622263239363
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.03476247752662526,0.04366422749503085,0.0054107965948320125,-99.06376564851399,-96.47209191650533
12,"Index(['const', 'L/S'], dtype='object')",2,0.035997138079053456,0.009698004797483617,-0.029914075010617047,-98.12144230930039,-95.52976857729173
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.004926145362000171,0.985769660146154,0.9846312329578463,-151.82127329483097,-149.22959956282233
14,"Index(['MgO', 'SiO2'], dtype='object')",2,0.04963692145507655,0.8566119735213007,0.8451409314030047,-89.44646371487048,-86.85478998286182
15,"Index(['MgO', 'P2O5'], dtype='object')",2,0.05939086582864136,0.8284353905844589,0.8147102218312157,-84.60251522496159,-82.01084149295293
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.028543935636746634,0.9175440684291366,0.9109475939034675,-104.38530558063661,-101.79363184862795
17,"Index(['MgO', 'L/S'], dtype='object')",2,0.03346356174503578,0.9033325609866556,0.8955991658655881,-100.0919644025279,-97.50029067051925
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.029058337606598827,0.9160580962714835,0.9093427439732021,-103.90305994588448,-101.31138621387582
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.03681069300727217,0.8936635780604765,0.8851566643053146,-97.51802102851948,-94.92634729651083
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.02930597296306304,0.9153427427803954,0.908570162202827,-103.67394065424887,-101.08226692224021
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.018599219439126787,0.94627174104997,0.9419734803339677,-115.95007753817609,-113.35840380616743
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.10073428353162114,0.7090051177445124,0.6857255271640733,-70.3371798853376,-67.74550615332895
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.05730858406052877,0.8344505555977134,0.8212066000455305,-85.56614573879523,-82.97447200678657
24,"Index(['SiO2', 'L/S'], dtype='object')",2,0.04023206075408117,0.8837801454322701,0.8744825570668517,-95.11837347960795,-92.5266997475993
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,0.06128865362094841,0.8229531802007921,0.8087894346168555,-83.75324941418563,-81.16157568217697
26,"Index(['P2O5', 'L/S'], dtype='object')",2,0.03458817225124518,0.9000838566690739,0.8920905652025998,-99.19948902992022,-96.60781529791156
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.0403197032011184,0.8835269694264253,0.8742091269805393,-95.0596200299608,-92.46794629795214
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,0.004879647612890281,0.8657580845366608,0.8545712582480492,-150.07733593840211,-146.18982534038912
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,0.028018212042104737,0.22920285422776354,0.1649697587467439,-102.88722944364716,-98.99971884563416
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,0.01812634999504744,0.5013336747378832,0.45977814763270675,-114.6454067493666,-110.7578961513536
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,0.02536290953124453,0.3022517551875106,0.24410606811980318,-105.57553511385191,-101.68802451583892
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,0.02922348522239481,0.19604509505857326,0.12904885298012114,-101.75004491154593,-97.86253431353293
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,0.019295171924960032,0.4691787104546967,0.42494360299258815,-112.9582246788257,-109.0707140808127
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,0.01197426058455627,0.6705811967073818,0.6431296297663303,-125.83980346203083,-121.95229286401783
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.019510697623470505,0.46324947439199604,0.41852026392466246,-112.65830851860724,-108.77079792059425
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,0.018363301515533233,0.4948150019759534,0.4527162521406163,-114.29474398796583,-110.40723338995284
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,0.004645779176395182,0.8721919398828101,0.8615412682063776,-151.40341133017407,-147.51590073216107
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.03210776923390499,0.11669678117160576,0.04308817960257294,-99.20866022896823,-95.32114963095523
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,0.03271891087397688,0.09988392276643421,0.02487424966363716,-98.69957004839407,-94.81205945038107
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.017714996850384218,0.5126502365989457,0.4720377563155246,-115.26519498744244,-111.37768438942945
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,0.019754892506941003,0.45653153254373013,0.41124249358904097,-112.32247519301401,-108.43496459500102
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.034758474002475184,0.04377436674957247,-0.03591110268796305,-97.0668753629179,-93.1793647649049
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,0.004344348642001623,0.9874503180323985,0.9858816077864483,-153.2146595037153,-149.3271489057023
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,0.004793617986971716,0.9861524969177078,0.9844215590324212,-150.55760004765492,-146.67008944964192
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.004265780395861303,0.9876772810556421,0.9861369411875974,-153.70742831564266,-149.81991771762966
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,0.004769444389302227,0.9862223280909778,0.98450011910235,-150.69410203866676,-146.80659144065376
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,0.04817670431878939,0.8608301572294118,0.8434339268830883,-88.25266615553599,-84.365155557523
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.02823694957052452,0.9184308705293008,0.9082347293454635,-102.67725962533885,-98.78974902732585
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,0.03320623149402491,0.904075920481243,0.8920854105413983,-98.30039316593161,-94.41288256791861
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.026238183996033417,0.924204779198863,0.9147303765987209,-104.6594817578393,-100.77197115982631
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,0.02955147465176166,0.9146335528949682,0.9039627470068392,-101.44869867364554,-97.56118807563254
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.027981912423306506,0.9191676058494282,0.9090635565806068,-102.92223257459293,-99.03472197657993
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,0.028722997679773293,0.9170268052263799,0.9066551558796774,-102.216458022795,-98.328947424782
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.026077404274665858,0.9246692295771072,0.9152528832742456,-104.82543864707728,-100.93792804906428
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,0.018462687839171647,0.9466661449754283,0.9399994130973569,-114.14900793034599,-110.261497332333
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.029233026975261735,0.9155534645762633,0.9049976476482962,-101.7412305871872,-97.85371998917421
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,0.014955083201136386,0.9567986933279807,0.9513985299939783,-119.83792322310498,-115.95041262509199
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.01835844405761804,0.9469672778755253,0.9403381876099659,-114.30188696891233,-110.41437637089933
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.056451816994206386,0.8369255305798564,0.8165412219023385,-83.97284522228313,-80.08533462427013
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,0.03068469043083146,0.9113599902046954,0.9002799889802823,-100.43268324786786,-96.54517264985486
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.039260668612849714,0.8865862421438512,0.8724095224118326,-93.77828020624312,-89.89076960823013
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.03244605525200762,0.9062718699463503,0.8945558536896441,-98.92567758087762,-95.03816698286462
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,0.003983881008330045,0.8904011395979734,0.8761056360672743,-153.55338238057186,-148.37003491655454
