,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.016723104397057258,2.220446049250313e-16,2.220446049250313e-16,-120.8209430988139,-119.52510623280958
1,"Index(['MgO'], dtype='object')",1,0.03512130725646586,0.699023162523047,0.6874471303123949,-100.7864913743376,-99.49065450833328
2,"Index(['Al2O3'], dtype='object')",1,0.03811563243774845,0.6733628840812722,0.660799918084398,-98.57744567056253,-97.2816088045582
3,"Index(['SiO2'], dtype='object')",1,0.033975814894504214,0.7088396157074242,0.6976411393884789,-101.6817856100624,-100.38594874405808
4,"Index(['P2O5'], dtype='object')",1,0.04533132906132438,0.6115269867412839,0.596585717000564,-93.89635074796578,-92.60051388196146
5,"Index(['Concentration(mM)'], dtype='object')",1,0.012645587816229384,0.8916319087677149,0.8874639052587808,-128.3669812638407,-127.07114439783638
6,"Index(['L/S'], dtype='object')",1,0.010142000495763649,0.9130867421131466,0.9097439245021137,-134.32380493269557,-133.02796806669124
7,"Index(['run_number'], dtype='object')",1,0.04176975407694629,0.642048389814565,0.6282810201920483,-96.10564986621327,-94.80981300020895
8,"Index(['const', 'MgO'], dtype='object')",2,0.016402862999309823,0.019149638137987757,-0.02008437633649285,-119.34299801806978,-116.75132428606112
9,"Index(['const', 'Al2O3'], dtype='object')",2,0.016722692549499863,2.4627458372505906e-05,-0.039974387443292736,-118.82160804837801,-116.22993431636935
10,"Index(['const', 'SiO2'], dtype='object')",2,0.016708176151047104,0.0008926719379198644,-0.03907162118456342,-118.84505600519711,-116.25338227318845
11,"Index(['const', 'P2O5'], dtype='object')",2,0.016376984394800863,0.020697114246162607,-0.018475001183990925,-119.38562923953353,-116.79395550752487
12,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.010798658289792873,0.3542671244883757,0.3284378094679107,-130.62991598395752,-128.03824225194887
13,"Index(['const', 'L/S'], dtype='object')",2,0.009032740849096532,0.45986459005266933,0.43825917365477607,-135.45119921463066,-132.85952548262202
14,"Index(['const', 'run_number'], dtype='object')",2,0.015373594861994301,0.08069730972321332,0.04392520211214179,-121.09271882407054,-118.50104509206189
