,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['1'], dtype='object')",1,0.016723104397057258,2.220446049250313e-16,2.220446049250313e-16,-120.8209430988139,-119.52510623280958
1,"Index(['Concentration(mM)'], dtype='object')",1,0.012645587816229384,0.8916319087677149,0.8874639052587808,-128.3669812638407,-127.07114439783638
2,"Index(['L/S'], dtype='object')",1,0.010142000495763649,0.9130867421131466,0.9097439245021137,-134.32380493269557,-133.02796806669124
3,"Index(['Concentration(mM)^2'], dtype='object')",1,0.02428481698022577,0.7918879453990331,0.7838836356066882,-110.7483209567211,-109.45248409071678
4,"Index(['Concentration(mM) L/S'], dtype='object')",1,0.009404024922811293,0.9194109245378072,0.9163113447123382,-136.36358703702697,-135.06775017102265
5,"Index(['L/S^2'], dtype='object')",1,0.0087089372474108,0.9253675732691191,0.9224970953179313,-138.43686338025495,-137.14102651425063
6,"Index(['1', 'Concentration(mM)'], dtype='object')",2,0.010798658289792873,0.3542671244883757,0.3284378094679107,-130.62991598395752,-128.03824225194887
7,"Index(['1', 'L/S'], dtype='object')",2,0.009032740849096532,0.45986459005266933,0.43825917365477607,-135.45119921463066,-132.85952548262202
8,"Index(['1', 'Concentration(mM)^2'], dtype='object')",2,0.011179467602898965,0.331495675834793,0.30475550286818465,-129.69417827685476,-127.1025045448461
9,"Index(['1', 'Concentration(mM) L/S'], dtype='object')",2,0.0072809876367812745,0.5646150700307475,0.5471996728319775,-141.27211115178102,-138.68043741977237
10,"Index(['1', 'L/S^2'], dtype='object')",2,0.008518391900630085,0.490621376367832,0.4702462314225453,-137.0341624894106,-134.44248875740192
11,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.00826258415074671,0.9291926570694173,0.9235280696349707,-137.85739759738323,-135.26572386537458
12,"Index(['Concentration(mM)', 'Concentration(mM)^2'], dtype='object')",2,0.010912445172121813,0.906484311274,0.8990030561759199,-130.34690190705442,-127.75522817504576
13,"Index(['Concentration(mM)', 'Concentration(mM) L/S'], dtype='object')",2,0.00938673636996922,0.91955908115171,0.9131238076438468,-134.4132700755347,-131.82159634352604
14,"Index(['Concentration(mM)', 'L/S^2'], dtype='object')",2,0.006783400262787852,0.9418687253431219,0.9372182233705717,-143.1833878936918,-140.59171416168311
15,"Index(['L/S', 'Concentration(mM)^2'], dtype='object')",2,0.007811823792699946,0.9330555094978364,0.9276999502576634,-139.37206878846683,-136.7803950564582
16,"Index(['L/S', 'Concentration(mM) L/S'], dtype='object')",2,0.006655207315068804,0.9429672923101652,0.9384046756949784,-143.69851783686175,-141.1068441048531
17,"Index(['L/S', 'L/S^2'], dtype='object')",2,0.008589930834756957,0.9263874149697278,0.920498408167306,-136.80835865004443,-134.21668491803575
18,"Index(['Concentration(mM)^2', 'Concentration(mM) L/S'], dtype='object')",2,0.007020649872067387,0.9398355824258563,0.9350224290199248,-142.2552008423004,-139.66352711029174
19,"Index(['Concentration(mM)^2', 'L/S^2'], dtype='object')",2,0.006822577376286351,0.9415329917203342,0.936855631057961,-143.02789961995205,-140.4362258879434
20,"Index(['Concentration(mM) L/S', 'L/S^2'], dtype='object')",2,0.006625117688415523,0.943225149473762,0.938683161431663,-143.82086744948404,-141.22919371747537
21,"Index(['1', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.007114635831398265,0.5745624937526422,0.5391093682320292,-139.89614785222818,-136.0086372542152
22,"Index(['1', 'Concentration(mM)', 'Concentration(mM)^2'], dtype='object')",3,0.01075297052967205,0.35699913877448297,0.30341573367235664,-128.7443919135047,-124.8568813154917
23,"Index(['1', 'Concentration(mM)', 'Concentration(mM) L/S'], dtype='object')",3,0.005995145968519263,0.6415051998614432,0.6116306331832302,-144.51865343446443,-140.63114283645143
24,"Index(['1', 'Concentration(mM)', 'L/S^2'], dtype='object')",3,0.006764453821586034,0.5955025059356585,0.5617943814302967,-141.25890601527098,-137.371395417258
25,"Index(['1', 'L/S', 'Concentration(mM)^2'], dtype='object')",3,0.007090708103093857,0.5759933123217482,0.540659421681894,-139.9871064771235,-136.0995958791105
26,"Index(['1', 'L/S', 'Concentration(mM) L/S'], dtype='object')",3,0.006588079043019488,0.6060492784952785,0.5732200517032184,-141.9722382442088,-138.0847276461958
27,"Index(['1', 'L/S', 'L/S^2'], dtype='object')",3,0.007534791611182428,0.5494382243700928,0.5118914097342673,-138.34696538086263,-134.45945478284963
28,"Index(['1', 'Concentration(mM)^2', 'Concentration(mM) L/S'], dtype='object')",3,0.006211510025121788,0.6285671680543465,0.5976144320588754,-143.56139840252416,-139.67388780451117
29,"Index(['1', 'Concentration(mM)^2', 'L/S^2'], dtype='object')",3,0.006735623972127082,0.5972264591428169,0.5636619974047183,-141.374224923887,-137.486714325874
30,"Index(['1', 'Concentration(mM) L/S', 'L/S^2'], dtype='object')",3,0.006412464203299495,0.6165506086042323,0.584596492654585,-142.7017291615365,-138.8142185635235
31,"Index(['Concentration(mM)', 'L/S', 'Concentration(mM)^2'], dtype='object')",3,0.0076112501809472224,0.9347743524470992,0.9266211465029865,-138.07436624929616,-134.18685565128317
32,"Index(['Concentration(mM)', 'L/S', 'Concentration(mM) L/S'], dtype='object')",3,0.006333831086047226,0.945721369780712,0.9389365410033009,-143.03486456309776,-139.14735396508476
33,"Index(['Concentration(mM)', 'L/S', 'L/S^2'], dtype='object')",3,0.006732880907911113,0.942301657851902,0.9350893650833898,-141.38522283872828,-137.4977122407153
