,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,0.3320955602759137,-2.220446049250313e-16,-2.220446049250313e-16,-40.12789261083984,-38.83205574483551
1,"Index(['MgO'], dtype='object')",1,0.3441746382896376,0.10548214310159842,0.07107761014396752,-39.16327877559621,-37.86744190959188
2,"Index(['Al2O3'], dtype='object')",1,0.3529236501343769,0.08274325866715371,0.04746415323127495,-38.48551000743598,-37.18967314143165
3,"Index(['SiO2'], dtype='object')",1,0.3510175089933353,0.08769736364392866,0.05260880070715657,-38.631732275954064,-37.335895409949735
4,"Index(['P2O5'], dtype='object')",1,0.3213807181246851,0.16472406957704055,0.1325980722530805,-41.01339275249195,-39.717555886487624
5,"Index(['Concentration(mM)'], dtype='object')",1,0.3316929070615069,0.13792245167300876,0.10476562289120128,-40.16064894409172,-38.86481207808739
6,"Index(['L/S'], dtype='object')",1,0.32515139578838537,0.1549239909903396,0.12242106756689108,-40.69845263101166,-39.40261576500733
7,"Index(['run_number'], dtype='object')",1,0.31586209508569923,0.1790670986810895,0.14749275632266978,-41.48105294141412,-40.18521607540979
8,"Index(['const', 'MgO'], dtype='object')",2,0.33209478171631174,2.3443842527282044e-06,-0.03999756184037717,-38.12795590928886,-35.5362821772802
9,"Index(['const', 'Al2O3'], dtype='object')",2,0.32924076122721807,0.00859631801859595,-0.03105982926066031,-38.36099655683857,-35.76932282482991
10,"Index(['const', 'SiO2'], dtype='object')",2,0.3289683262382746,0.009416669211238071,-0.030206664020312468,-38.38334734251323,-35.791673610504574
11,"Index(['const', 'P2O5'], dtype='object')",2,0.3209937831104604,0.03342946577253125,-0.005233355596567568,-39.04591971807821,-36.45424598606955
12,"Index(['const', 'Concentration(mM)'], dtype='object')",2,0.33002456123241675,0.006236153960553548,-0.03351439988102434,-38.296795970548374,-35.705122238539715
13,"Index(['const', 'L/S'], dtype='object')",2,0.32072031918170946,0.034252915289663455,-0.004376968098749989,-39.068931606072724,-36.477257874064065
14,"Index(['const', 'run_number'], dtype='object')",2,0.3152384068853919,0.05075994805987882,0.01279034598227391,-39.5344187265397,-36.94274499453104
15,"Index(['MgO', 'Al2O3'], dtype='object')",2,0.34184605875488366,0.11153417524840847,0.04045690926828105,-37.34657321312187,-34.75489948111321
16,"Index(['MgO', 'SiO2'], dtype='object')",2,0.34154110638211493,0.1123267535287279,0.0413128938110261,-37.370669991730864,-34.778996259722206
17,"Index(['MgO', 'P2O5'], dtype='object')",2,0.31967730198238686,0.16915128758644093,0.10268339059335618,-39.156881618228,-36.56520788621934
18,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,0.3303524221103735,0.1414064031101373,0.07271891535894826,-38.26998630075235,-35.67831256874369
19,"Index(['MgO', 'L/S'], dtype='object')",2,0.3243792679887131,0.15693076902618452,0.08948523054827928,-38.76264501352341,-36.17097128151475
20,"Index(['MgO', 'run_number'], dtype='object')",2,0.3157220634500449,0.17943104414565358,0.11378552767730576,-39.4930255476726,-36.90135181566394
21,"Index(['Al2O3', 'SiO2'], dtype='object')",2,0.347014673332245,0.09810082624323191,0.025948892342690377,-36.94139635813414,-34.349722626125484
22,"Index(['Al2O3', 'P2O5'], dtype='object')",2,0.3213374632281591,0.164836490055008,0.09802340925940856,-39.01702694938213,-36.42535321737347
23,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,0.32962580851121237,0.14329488868462603,0.07475847977939609,-38.329438489305915,-35.737764757297256
24,"Index(['Al2O3', 'L/S'], dtype='object')",2,0.3209894477498912,0.16574099034397383,0.09900026957149166,-39.04628438409982,-36.45461065209116
25,"Index(['Al2O3', 'run_number'], dtype='object')",2,0.3136229380095487,0.18488671978673143,0.11967765736966984,-39.673138512542096,-37.08146478053344
26,"Index(['SiO2', 'P2O5'], dtype='object')",2,0.32127068328024083,0.16501005268644564,0.09821085690136122,-39.02263863858987,-36.43096490658121
27,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,0.3315224602641449,0.13836544684734564,0.06943468259513319,-38.17452698087081,-35.58285324886215
28,"Index(['SiO2', 'L/S'], dtype='object')",2,0.31840605956631285,0.17245527607111233,0.10625169815680124,-39.26446502414231,-36.67279129213365
29,"Index(['SiO2', 'run_number'], dtype='object')",2,0.309709336027416,0.19505826198753884,0.13066292294654192,-40.01218285987123,-37.42050912786257
