,x_values,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['MgO'], dtype='object')",0.032688436949917035,0.7616932624744736,0.7525276187234917,-102.7247291791806,-101.42889231317628
1,"Index(['Al2O3'], dtype='object')",0.042213086983012287,0.6922562233484688,0.6804199242464868,-95.8205892633361,-94.52475239733178
2,"Index(['SiO2'], dtype='object')",0.031192024495819502,0.7726024769613857,0.7638564183829775,-103.9899213224804,-102.69408445647608
3,"Index(['P2O5'], dtype='object')",0.042513818522160574,0.6900638165327113,0.6781431940916618,-95.62891967249095,-94.33308280648663
4,"Index(['Concentration(mM)'], dtype='object')",0.02924407237746405,0.7868035265524829,0.7786036621891168,-105.73103083835184,-104.43519397234752
5,"Index(['L/S'], dtype='object')",0.0069891379476235155,0.9490474669998487,0.9470877541921505,-144.37666212433854,-143.08082525833422
6,"Index(['MgO', 'Al2O3'], dtype='object')",0.020829161748485876,0.8481502927387369,0.8360023161578358,-112.89274879888774,-110.30107506687908
7,"Index(['MgO', 'SiO2'], dtype='object')",0.01625333492330931,0.8815091946605488,0.8720299302333927,-119.59025804980402,-116.99858431779536
8,"Index(['MgO', 'P2O5'], dtype='object')",0.018330517383036864,0.8663660241265358,0.8556753060566586,-116.34299035967109,-113.75131662766243
9,"Index(['MgO', 'Concentration(mM)'], dtype='object')",0.01737326013048946,0.8733446647136258,0.8632122378907159,-117.79113636990377,-115.19946263789511
10,"Index(['MgO', 'L/S'], dtype='object')",0.006832255652747416,0.9501911774784109,0.9462064716766837,-142.989625478093,-140.39795174608435
11,"Index(['Al2O3', 'SiO2'], dtype='object')",0.021162542550669693,0.8457198647729154,0.8333774539547486,-112.46402265231819,-109.87234892030953
12,"Index(['Al2O3', 'P2O5'], dtype='object')",0.024961250357651815,0.8180263514464254,0.8034684595621395,-108.00654193058114,-105.41486819857248
13,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",0.02725427024095231,0.801309673059272,0.7854144469040137,-105.63363131868479,-103.04195758667613
14,"Index(['Al2O3', 'L/S'], dtype='object')",0.006939465166129786,0.9494095937824698,0.9453623612850673,-142.56924005553617,-139.97756632352753
15,"Index(['SiO2', 'P2O5'], dtype='object')",0.018703712405530468,0.8636453407115572,0.8527369679684818,-115.7988123516204,-113.20713861961174
16,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",0.020200766690729836,0.8527314471182027,0.8409499628876589,-113.71985203739743,-111.12817830538877
17,"Index(['SiO2', 'L/S'], dtype='object')",0.006983593213524673,0.9490878894738741,0.945014920631784,-142.39809069500245,-139.8064169629938
18,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",0.024843587223646366,0.8188841446053589,0.8043948761737876,-108.1341163062001,-105.54244257419144
19,"Index(['P2O5', 'L/S'], dtype='object')",0.006978969672079718,0.9491215962270986,0.9450513239252665,-142.41597217200624,-139.82429843999756
20,"Index(['Concentration(mM)', 'L/S'], dtype='object')",0.0055873997655778215,0.9592664827802627,0.9560078014026837,-148.42042856181004,-145.82875482980137
21,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",0.012874307110625116,0.9061431377053791,0.8944110299185515,-123.88299915340104,-119.99548855538805
22,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",0.013826019031660534,0.8992049239476033,0.8866055394410537,-121.9573962626499,-118.0698856646369
23,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",0.016523254908384306,0.8795414116449609,0.8644840881005811,-117.14555014156014,-113.25803954354714
24,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",0.006807155406580117,0.9503741644405707,0.944170934995642,-141.08900035705406,-137.20148975904107
25,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",0.010633960448482145,0.9224758153674981,0.9127852922884354,-129.044884336874,-125.157373738861
26,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",0.012843238400061378,0.9063696362395524,0.8946658407694964,-123.94823520735966,-120.06072460934666
27,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",0.006801550057685561,0.9504150288113511,0.94421690741277,-141.11124265322385,-137.22373205521086
28,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",0.014527997007829144,0.8940873320122099,0.8808482485137361,-120.62021149228173,-116.73270089426873
29,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",0.0067876490867636976,0.9505163703051002,0.9443309165932376,-141.1664815737542,-137.2789709757412
30,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",0.00558609004062293,0.9592760309970078,0.9541855348716337,-146.4267582895061,-142.5392476914931
31,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",0.014558596684671668,0.8938642528491147,0.8805972844552541,-120.56340239402311,-116.67589179601012
32,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",0.018697240382270976,0.8636925233514161,0.8466540887703431,-113.80815674617324,-109.92064614816024
33,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",0.006938094383423464,0.9494195871252259,0.9430970355158791,-140.57457400968838,-136.68706341167538
34,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",0.02224754571346225,0.8378099251105777,0.8175361657493999,-109.11405128866994,-105.22654069065695
35,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",0.006935113250537688,0.9494413203164833,0.9431214853560437,-140.58617775574027,-136.69866715772727
36,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",0.005553501752612075,0.959513607624159,0.954452808577179,-146.58473289086018,-142.6972222928472
37,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.016504813842301035,0.879675851548023,0.8646353329915258,-117.17570078946801,-113.28819019145502
38,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",0.006967779930695331,0.9492031721913196,0.9428535687152345,-140.4592974041658,-136.5717868061528
39,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.005578274520736552,0.959333008057399,0.9542496340645739,-146.46456054331875,-142.57704994530576
40,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.005529545014261891,0.9596882581333508,0.9546492904000197,-146.70145764290282,-142.81394704488983
41,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",0.0090571061112329,0.9339714709486622,0.9224882485049513,-131.37846642955574,-126.19511896553843
42,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",0.01207993512426506,0.9119343046780055,0.8966185315785282,-123.60256992800376,-118.41922246398644
43,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",0.006786471537043839,0.9505249549319039,0.9419205992678872,-139.17116605290346,-133.98781858888614
44,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",0.013277596682595975,0.9032030576299174,0.8863688067829465,-121.05019693726626,-115.86684947324895
45,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",0.00677423215844504,0.9506141830093335,0.9420253452718264,-139.21990442508857,-134.03655696107126
46,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",0.005552804940676616,0.9595186875543883,0.9524784593029776,-144.5881208618215,-139.40477339780418
47,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.01018142876179186,0.9257748825589736,0.9128661664822733,-128.2190426403817,-123.03569517636438
48,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.006715744393589581,0.951040573186668,0.9425258902626102,-139.45403078403427,-134.27068332001696
49,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.00557334700463955,0.959368930860529,0.952302657966708,-144.48842127836517,-139.30507381434785
50,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.005529102087082568,0.9596914871813236,0.952681311038945,-144.70362048140169,-139.52027301738437
51,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.014493761592631438,0.8943369166012833,0.8759607281841152,-118.68391243141718,-113.50056496739987
52,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.006931491629502356,0.9494677228237309,0.9406795007061189,-138.6002812469731,-133.4169337829558
53,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.0055483258357572115,0.9595513413298506,0.9525167919959117,-144.60990888356847,-139.42656141955115
54,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.005471528488982038,0.9601112128583869,0.9531740324859324,-144.98624088780574,-139.80289342378842
55,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.005528361624834103,0.9596968853330603,0.9526876479996795,-144.70723658745626,-139.52388912343895
56,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.009048150247839526,0.9340367613934232,0.9190451162555648,-129.40517782502542,-122.92599349500378
