,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['1'], dtype='object')",1,0.009760107,0,0,-135.3601158,-134.064279
1,"Index(['Concentration(mM)'], dtype='object')",1,0.029244072,0.786803527,0.778603662,-105.7310308,-104.435194
2,"Index(['L/S'], dtype='object')",1,0.006989138,0.949047467,0.947087754,-144.3766621,-143.0808253
3,"Index(['Concentration(mM)^2'], dtype='object')",1,0.05464345,0.601635823,0.586314123,-88.85191456,-87.5560777
4,"Index(['Concentration(mM) L/S'], dtype='object')",1,0.029359305,0.785963449,0.777731274,-105.6248494,-104.3290125
5,"Index(['L/S^2'], dtype='object')",1,0.010492809,0.923504841,0.920562719,-133.4056714,-132.1098345
6,"Index(['1', 'Concentration(mM)'], dtype='object')",2,0.00963191,0.013134774,-0.026339835,-133.7171044,-131.1254307
7,"Index(['1', 'L/S'], dtype='object')",2,0.00693185,0.289777226,0.261368315,-142.5988838,-140.0072101
8,"Index(['1', 'Concentration(mM)^2'], dtype='object')",2,0.009497244,0.026932391,-0.011990314,-134.0972621,-131.5055884
9,"Index(['1', 'Concentration(mM) L/S'], dtype='object')",2,0.009616417,0.014722141,-0.024688973,-133.7605687,-131.168895
10,"Index(['1', 'L/S^2'], dtype='object')",2,0.006786814,0.304637366,0.27682286,-143.1698043,-140.5781305
11,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,0.0055874,0.959266483,0.956007801,-148.4204286,-145.8287548
12,"Index(['Concentration(mM)', 'Concentration(mM)^2'], dtype='object')",2,0.01013768,0.926093825,0.920181331,-132.3353104,-129.7436367
13,"Index(['Concentration(mM)', 'Concentration(mM) L/S'], dtype='object')",2,0.02858554,0.791604391,0.774932742,-104.3459804,-101.7543067
14,"Index(['Concentration(mM)', 'L/S^2'], dtype='object')",2,0.010377088,0.924348476,0.918296354,-131.7050982,-129.1134245
15,"Index(['L/S', 'Concentration(mM)^2'], dtype='object')",2,0.005353605,0.960970905,0.957848577,-149.5745131,-146.9828394
16,"Index(['L/S', 'Concentration(mM) L/S'], dtype='object')",2,0.005658808,0.958745901,0.955445573,-148.07755,-145.4858762
17,"Index(['L/S', 'L/S^2'], dtype='object')",2,0.006970609,0.949182547,0.945117151,-142.4483367,-139.856663
18,"Index(['Concentration(mM)^2', 'Concentration(mM) L/S'], dtype='object')",2,0.015714239,0.885439336,0.876274483,-120.5009914,-117.9093176
19,"Index(['Concentration(mM)^2', 'L/S^2'], dtype='object')",2,0.009309555,0.932131058,0.926701543,-134.6361929,-132.0445192
20,"Index(['Concentration(mM) L/S', 'L/S^2'], dtype='object')",2,0.008838533,0.935564926,0.93041012,-136.0380439,-133.4463702
21,"Index(['1', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005522367,0.43418995,0.387039112,-146.736531,-142.8490204
22,"Index(['1', 'Concentration(mM)', 'Concentration(mM)^2'], dtype='object')",3,0.008852569,0.092984488,0.017399862,-133.9952005,-130.1076899
